flt_date,flt_no,a,b,c,aircraft,ab_pax,bc_pax,ac_pax,ab_duration,bc_duration,ac_duration
2023-11-20,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.48,4.41,1.93,65,39,101
2023-11-21,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.38,4.25,1.87,57,60,97
2023-11-22,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.27,4.0,1.73,59,51,89
2023-11-23,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.32,4.22,1.9,40,35,81
2023-11-24,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.43,4.4,1.97,78,50,73
2023-11-25,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.3,4.22,1.92,74,70,40
2023-11-26,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.55,4.37,1.82,101,40,94
2023-11-27,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,73D,4.12,6.2,2.08,72,81,63
2023-11-28,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.47,4.5,2.03,72,55,82
2023-11-29,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.47,4.32,1.85,63,34,87
2023-11-30,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.35,4.33,1.98,72,67,85
2023-12-01,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.43,4.38,1.95,89,54,73
2023-12-02,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.42,4.24,1.82,75,35,45
2023-12-03,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.28,4.1,1.82,79,69,66
2023-12-04,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,73D,2.38,4.33,1.95,49,71,69
2023-12-05,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.48,4.43,1.95,76,30,67
2023-12-06,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.32,4.39,2.07,53,21,112
2023-12-07,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.58,4.46,1.88,83,32,132
2023-12-08,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.5,4.47,1.97,99,24,109
2023-12-09,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.33,4.15,1.82,104,38,88
2023-12-10,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.22,3.97,1.75,126,36,72
2023-12-11,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.38,4.21,1.83,100,13,67
2023-12-12,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.25,4.2,1.95,54,22,66
2023-12-13,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.23,3.98,1.75,47,27,73
2023-12-14,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.25,3.92,1.67,74,24,95
2023-12-15,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.4,4.38,1.98,80,44,123
2023-12-16,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.5,4.33,1.83,86,41,125
2023-12-17,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.35,4.15,1.8,100,49,83
2023-12-18,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.5,4.22,1.72,83,57,73
2023-12-19,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.27,4.27,2.0,70,67,65
2023-12-20,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.35,4.32,1.97,116,46,93
2023-12-21,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.52,4.35,1.83,76,73,88
2023-12-22,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.42,4.3,1.88,95,57,80
2023-12-23,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,73D,2.7,4.52,1.82,99,57,69
2023-12-24,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.3,4.23,1.93,91,73,59
2023-12-25,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.43,4.31,1.88,70,73,75
2023-12-26,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.42,4.37,1.95,83,57,88
2023-12-27,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.23,4.01,1.78,109,54,110
2023-12-28,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.25,4.1,1.85,87,77,74
2023-12-29,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.27,4.09,1.82,125,40,118
2023-12-30,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.6,4.82,2.22,92,50,101
2023-12-31,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.47,4.5,2.03,101,63,64
