航班日期,A,B,C,航段,航班号,距离天数,人数
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,t+kFcRdzL6o=-/M8gHzjxpNU=,A4tgQv5cqkc=,9,38
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,AlGb30xUGAU=-xIqe+QQIQXQ=,A4tgQv5cqkc=,8,26
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,zwVGiYamVc0=-AlGb30xUGAU=,A4tgQv5cqkc=,8,41
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-t+kFcRdzL6o=,A4tgQv5cqkc=,8,49
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-/M8gHzjxpNU=,A4tgQv5cqkc=,8,49
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,t+kFcRdzL6o=-/M8gHzjxpNU=,A4tgQv5cqkc=,8,46
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,AlGb30xUGAU=-xIqe+QQIQXQ=,A4tgQv5cqkc=,7,26
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,zwVGiYamVc0=-AlGb30xUGAU=,A4tgQv5cqkc=,7,48
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-t+kFcRdzL6o=,A4tgQv5cqkc=,7,63
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-/M8gHzjxpNU=,A4tgQv5cqkc=,7,63
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,t+kFcRdzL6o=-/M8gHzjxpNU=,A4tgQv5cqkc=,7,60
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,AlGb30xUGAU=-xIqe+QQIQXQ=,A4tgQv5cqkc=,6,26
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,zwVGiYamVc0=-AlGb30xUGAU=,A4tgQv5cqkc=,6,71
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-t+kFcRdzL6o=,A4tgQv5cqkc=,6,63
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-/M8gHzjxpNU=,A4tgQv5cqkc=,6,63
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,t+kFcRdzL6o=-/M8gHzjxpNU=,A4tgQv5cqkc=,6,60
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,AlGb30xUGAU=-xIqe+QQIQXQ=,A4tgQv5cqkc=,6,27
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,zwVGiYamVc0=-AlGb30xUGAU=,A4tgQv5cqkc=,6,74
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,zwVGiYamVc0=-xIqe+QQIQXQ=,A4tgQv5cqkc=,6,74
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-t+kFcRdzL6o=,A4tgQv5cqkc=,6,65
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-/M8gHzjxpNU=,A4tgQv5cqkc=,6,65
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,t+kFcRdzL6o=-/M8gHzjxpNU=,A4tgQv5cqkc=,6,62
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,AlGb30xUGAU=-xIqe+QQIQXQ=,A4tgQv5cqkc=,5,27
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,zwVGiYamVc0=-AlGb30xUGAU=,A4tgQv5cqkc=,5,74
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,zwVGiYamVc0=-xIqe+QQIQXQ=,A4tgQv5cqkc=,5,74
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-t+kFcRdzL6o=,A4tgQv5cqkc=,5,65
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-/M8gHzjxpNU=,A4tgQv5cqkc=,5,65
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,t+kFcRdzL6o=-/M8gHzjxpNU=,A4tgQv5cqkc=,5,62
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,AlGb30xUGAU=-xIqe+QQIQXQ=,A4tgQv5cqkc=,5,29
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,zwVGiYamVc0=-AlGb30xUGAU=,A4tgQv5cqkc=,5,83
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,zwVGiYamVc0=-xIqe+QQIQXQ=,A4tgQv5cqkc=,5,83
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-t+kFcRdzL6o=,A4tgQv5cqkc=,5,64
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-/M8gHzjxpNU=,A4tgQv5cqkc=,5,64
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,t+kFcRdzL6o=-/M8gHzjxpNU=,A4tgQv5cqkc=,5,62
